,Email,Name,Phone,Title,Website,Street,City,Postal Code,Associated with,Description,Latitude,Longitude,EIN,State
DISABLED AMERICAN VETERANS,, ,,,,PO BOX 1453 ,HEBER SPRINGS,72543,,"

",35.4914677,-92.03125999999999,31-1056289,AR
STATION OF DAMASCUS,, ,,,,14947 HIGHWAY 65 S % BARBARA HUTTO,DAMASCUS,72039,,"

",35.367302,-92.4096005,76-0704703,AR
KOAL TO DIAMOND FOUNDATION INC,, ,,,,PO BOX 6014 % RALPH OWENS JR,PINE BLUFF,71611,,"

",34.22000000000001,-92.0,01-0650805,AR
COMMUNITY THRIFT SHOP INCORPORATED,, ,,,,19 LAKEWOOD DR % KIMBERLY BARNES,HARDY,72542,,"

",36.3158994,-91.48263879999999,20-1362481,AR
AIR FORCE ASSOCIATION,, ,,,,211 W LAFAYETTE ST ,FAYETTEVILLE,72701,,"

",36.068414,-94.162674,51-0249129,AR
MILITARY ORDER OF THE PURPLE HEART OF THE USA,, ,,,,204 CONCORDIA DR ,BELLA VISTA,72714,,"

",0.0,0.0,71-0763837,AR
CONQUEST HOUSE,, ,,,,512 N WASHINGTON AVE % DONALD R DREDD,EL DORADO,71730,,"

",0.0,0.0,20-2841626,AR
NEW REALITY INC,, ,,,,1911 APPIANWAY ST ,LITTLE ROCK,72204,,"

",34.7322067,-92.304926,71-0728518,AR
ST FRANCIS COUNTY FOOD PANTRY INC,, ,,,,126 S WATER ST ,FORREST CITY,72335,,"

",35.0076409,-90.7956208,58-1641935,AR
VETERANS OF FOREIGN WARS DEPARTMENT OF ARKANSAS,, ,,,,805 CHEROKEE DR % RAYMOND RANKIN,NEWPORT,72112,,"VETERANS ACTIVITIES/SCHOLARSHIPS

VETERANS ACTIVITIES AND SCHOLARSHIPS TO GRADUATING HIGH SCHOOL STUDENTS. APPROXIMATELY 5 SCHOLARSHIPS GRANTED EACH YEAR. VETERANS ACTIVITIES INCLUDE MEETINGS, BANQUETS AND OTHER PUBLIC EVENTS.",35.6048018,-91.2817951,71-0585367,AR
HELPING HAND COMMUNITY DEVELOPMENT CORPORATION,, ,,,,1510 BROADWAY ST % LIZZIE RASBERRY,LITTLE ROCK,72202,,"

",0.0,0.0,14-1884063,AR
VETERANS OF FOREIGN WARS OF THE US DEPT OF ARKANSAS LADIES AUXILIARY,, ,,,,PO BOX 6455 ,PINE BLUFF,71611,,"

",33.877984,-91.9008659,51-0198859,AR
LOVE-TRUTH-CARE INCORPORATED,, ,,,www.lovetruthcare.org,PO BOX 164660 ,LITTLE ROCK,72216,,"Assist elderly, needy. and children in Central Arkansas. Honduras and Latin America Train and equipment ministry leaders in Central Arkansas, Honduras and Latin Amenca

In Little Rock Arkansas we continue to provide food assistance to the eldery and disabled by delivering food boxes to approx 350 families per month We continue to provide emergency food assistance and utility assistance as funds are availabke In Honduras we faciliated 5 sergical team to work and teach at Hospital Escuela and DIME.",34.65,-92.25,71-0742776,AR
PEOPLE AT WORK INC,, ,,,,4400 SHUFFIELD DR ,LITTLE ROCK,72205,,"

Provide rehab & job training & supported work for mentally ill patients",34.7472199,-92.32119530000001,71-0609647,AR
OPERATION KIDS INC,, ,,,,2718 WOODLAND OAKS DR ,TEXARKANA,71854,,"To sponsor home based day care providers with the Child and Adult Care Food Program.

The Organization sponsors home based day care providers and reimburses the provider for meals fead to children in their care. The reimbursement is based on USDA and state guideline for Arkansas, Texas, and Oklahoma.",33.4484509,-94.01510669999999,58-1861424,AR
AMVETS,, ,,,,PO BOX 809 ,MURFREESBORO,71958,,"

",34.0623308,-93.6899049,91-1842777,AR
HEAVENLY QUARTERS INC,, ,,,,5900 S CEDAR ST % WANDA JOHNSON,PINE BLUFF,71603,,"

",34.2284312,-92.00319549999999,80-0484324,AR
GOSPEL TEMPLE CHURCH OUTREACH MINISTRIES,, ,,,,424 COLLEGE ST ,LUXORA,72358,,"

",35.7520712,-89.93179839999999,27-2039578,AR
DISABLED AMERICAN VETERANS,, ,,,,271 COUNTY ROAD 454 ,MOUNTAIN HOME,72653,,"

",36.368571,-92.41224799999999,71-6061903,AR
NORTHWEST ARKANSAS VETERANS DAY ASSOCIATION INC,, ,,,,2730 S COUNTRY CLUB DR % PAUL BIXBY,FAYETTEVILLE,72701,,"

",36.0625795,-94.1574263,73-1653642,AR
CANAAN CHRISTIAN CENTER OUTREACH MINISTRIES INC,, ,,,,7890 MIDDLE WARREN RD % SHERYL BANKS,PINE BLUFF,71603,,"

",0.0,0.0,94-3478587,AR
Navy Mothers Club Of America Inc,, ,,,,Po Box 282 ,Bradley,71826,,"

",33.0981881,-93.6548983,75-6036770,AR
SMITH HOUSE OF HOT SPRING COUNTY INC,, ,,,,PO BOX 966 ,MALVERN,72104,,"Serve and Shelter abused women and children

Short term shelter was provided for 14 clients and their families. Services were provided to 121 clients and their families. 117 clients were domestic violence clients. Services included: shelter, food, transportation, emergency items, personal and household items, workshops, support groups, peer counseling, mentoring, personal advocacy, systems advocacy, court advocacy, referrals, legal aid, prescriptions and community awareness. Most services provided to individual clients and families.",34.3623149,-92.81294620000001,58-2025931,AR
2ND CHANCE AT LIFE,, ,,,,1514 JUNCTION CITY RD ,EL DORADO,71730,,"

",33.20588770000001,-92.6489452,26-1925097,AR
"YMCA Fnd of Warren & Bradley County Arkansas, Inc.",warrenymca@cei.net,James King,(870) 226-2404,Executive Director,http://www.cei.net/~warrenymca/,PO Box 1000 ,Warren,71671,,"To fund the YMCA of Warren & Bradley County, Arkansas.

GRANTS TO YOUNG MEN'S CHRISTIAN ASSOCIATION OF WARREN AND BRADLEY COUNTY TO PROVIDE ASSISTANCE IN VARIOUS PROGRAMS AND ADEQUATE FACILITIES FOR ALL YOUTH OF BRADLEY COUNTY",0.0,0.0,71-0550509,AR
MARINE CORPS LEAGUE,, ,,,,P O BOX 151 ,TEXARKANA,71854,,"

",0.0,0.0,52-2406724,AR
COMMITTED TO REACHING YOUTH INC,, ,,,,915 CHICKASAWBA ST % RICHELLE M CARTER,BLYTHEVILLE,72315,,"

",35.9272953,-89.9189753,30-0435659,AR
SAVING GRACE,info@savinggracenwa.org,Kent Shaffer,479-631-4665,Business Manager,www.savinggracenwa.org,1229 W Poplar ,Rogers,72756,,"A Christ centered, safe harbor offering acceptance, restoration and hope to young women of Northwest Arkansas, preparing them for interdependent living.

Saving Grace, Inc. provides a safe and affordable place to live, limited meals, and cultivate personal growth for the residents. The facility can serve 14 residents at any given time.",36.3317699,-94.133246,26-4589018,AR
WEST CENTRAL ARKANSAS CAREER DEVELOPMENT CENTER SYSTEM INC,, ,,,,2254 ALBERT PIKE RD STE F ,HOT SPRINGS,71913,,"PROVIDE ONE STOP CAREER CENTERS IN THE TEN COUNTY WEST CENTRAL ARKANSAS SERVICE AREA.

TO PROVIDE THE ONE STOP CAREER CENTERS, TO PROVIDE CORE SERVICES THAT INCLUDE OUTREACH, JOB SEARCH, AND PLACEMENT ASSISTANCE, ETC. THROUGH THE FEDERAL PROGRAM (WIA) UNDER THE THE EMPLOYMENT & TRAINING ADMINISTRATION, US DEPT OF LABOR.",34.49346999999999,-93.1035349,71-0847862,AR
SOLDIERS FOR CHRIST M-M-NATIONAL,, ,,,,PO BOX 907 % AUTIE L WATSON,MOUNT IDA,71957,,"

",34.5567637,-93.6340814,56-2463264,AR
ALPHA HOUSE INC,, ,,,,5 E 6TH ST ,MTN HOME,72653,,"

MEN'S SHELTER. PROVIDES FOOD, HOUSING, MEDICAL, TRANSPORTATION, AND COOUNSELING FOR HOMELESS MEN. ASSISTS IN FINDING EMPLOYMENT AND LIVING QUARTERS.",36.3354885,-92.38498279999999,36-4366174,AR
MARINE CORPS LEAGUE,, ,,,,12 BREEDS HILL CT % KEVIN M O DWYER,LITTLE ROCK,72211,,"

",34.7446913,-92.4159308,71-0785852,AR
HOPE CENTER INC,, ,,,,7600 S UNIVERSITY AVE ,LITTLE ROCK,72209,,"ASSISTANCE FOR NEEDY FAMILIES.

SERVICES",0.0,0.0,71-0801161,AR
SONS OF CONFEDERATE VETERANS INC,, ,,,,975 BETHESDA RD % HAROLD D NIX,BATESVILLE,72501,,"

",35.769799,-91.6409721,56-2293797,AR
NEW IMAGE COMMUNITY ENTERPRISES,, ,,,,1114 MAIN ST % BRENDA HILL,VAN BUREN,72956,,"

",35.436756,-94.34826799999999,30-0491577,AR
TWIN LAKES VETERANS,, ,,,,40 PLAZA WAY ,MOUNTAIN HOME,72653,,"

",36.4778185,-92.5669499,26-3673886,AR
The Thirteenth Judicial District Court Appointed Special Advocates,dnika@nationalcasa.org,D'Nika Jackson,(800) 628-3233,Resource Development Coordinator,http://www.nationalcasa.org/,PO Box 472 ,Camden,71711,,"National CASA's mission is to ensure that every child in or risk of being placed in foster care has a CASA Volunteer, appointed by judges to be a voice for these children in court. The result is that they are placed into safe, loving homes where they can thrive.

THE CASA PROGRAM RECRUITS, SCREENS, TRAINS, SUPPORTS AND GIVES IN-SERVICE TO VOLUNTEER ADVOCATES WHO WORK WITH VICTIM CHILDREN AND THEIR FAMILY MEMBERS.",33.58,-92.83,71-0786329,AR
STUFF THE SLEIGH INC,, ,,,,9 CONNOLLY CT ,LITTLE ROCK,72210,,"

",0.0,0.0,20-0109409,AR
ZACHARY ELDERLY FOUNDATION INC,, ,,,,711 N GORMAN ST % ESTELLA SHACKELFORD,FORREST CITY,72335,,"

",35.0081474,-90.7898342,27-0015511,AR
VETERANS OF FOREIGN WARS OF THE US DEPT OF ARKANSAS LADIES AUXILIARY,, ,,,,PO BOX 47 ,BENTONVILLE,72712,,"

",36.453733,-94.19572400000001,51-0201608,AR
GOSPEL TRUTH MINISTRIES INC,, ,,,,PO BOX 405 ,VAN BUREN,72957,,"TO PROVIDE FOOD, SHELTER AND MEDICAL BENEFITS TO NEEDY PERSONS. TO PROVIDE BUILDINGS AND FOUNDATION FOR SUCH PERSONS.

",0.0,0.0,71-0512680,AR
FRIENDS OF GRAVETTE MEDICAL CENTER HOSPITAL,, ,,,,PO BOX 450 ,GRAVETTE,72736,,"

",0.0,0.0,71-0678876,AR
ASSOCIATION OF MARKSMEN IN THE NATIONAL GUARD INC,, ,,,,PO BOX 94881 ,N LITTLE ROCK,72190,,"The purpose of the association is to provide support for marksmanship training, education and competition activities at all levels in the National Guard. This purpose is achieved through various competitions and educational meetings.

The purpose of the association is to provide support for marksmanship training, education and competition activities at all levels in the National Guard. This purpose is achieved through various competitions and educational meetings.",34.78,-92.27,71-0810470,AR
WHITE COUNTY RURAL PREVENTION ASSOCIATION,, ,,,,PO BOX 1421 % PROGRAM DEVELOPMENT,SEARCY,72145,,"

",0.0,0.0,71-0880893,AR
SOUTHWEST GOOD SAMARITAN RESTORATION CENTER,, ,,,,57 SAXONY CIR ,LITTLE ROCK,72209,,"

",34.662194,-92.349904,27-3927463,AR
GIVING IN KINDNESS IN ARKANSAS INC,, ,,,,5720 GEYER SPRINGS CUT OFF % PAMELA BOLES,LITTLE ROCK,72206,,"

",34.6429822,-92.2433487,26-3739038,AR
GOOD NEIGHBOR FOOD CUPBOARD,, ,,,,PO BOX 1440 ,DIAMOND CITY,72630,,"

",36.46,-92.92000000000002,71-0858308,AR
COMMISSION MINISTRIES INC,, ,,,,PO BOX 3005 ,FORT SMITH,72913,,"

",35.59116,-93.761674,71-0839105,AR
Fort Smith Children's Emergency Shelter,tracywolfe@sbcglobal.net,Tracy Wolfe,,Executive Director,,3015 South 14th St ,Fort Smith,72901,,"The Children's Emergency Shelter provides shelter for children in the State of Arkansas.  The mission is to:  alleviate the problems of runaway and homeless youth; strenghten the child's social skills and basic living skills; improve personal hygiene; encourage stable living conditions for the child; help children decide upon a constructive course of action; continue the child's education; provide educational tutoring; provide food, needed clothing, and toiletries for the child; and provide recreational activities.

Day to day operation of a shelter for area youths between the ages of 6-17 whose primary need is emergency short term housing due to family disfunction.",0.0,0.0,71-0779347,AR
COMMUNITY EMPOWERMENT COUNCIL,, ,,,,2203 W 26TH AVE ,PINE BLUFF,71603,,"

",34.2032774,-92.02466729999999,80-0428091,AR
WHITE RIVER BATTERED WOMENS SHELTER INC,, ,,,,1000 WALNUT ST ,NEWPORT,72112,,"Provide fully staffed haven 24 hrs/day for the protection, assistance, and counseling of victims of domestic violence. Provide 24 hrs/day hotline and transportation, food, clothing, and other help to victims of domestic violence. Provide temporary sleeping areas for homeless.

Provide temporary sleeping quarters and food for the homeless.",35.599302,-91.27702599999999,58-2022875,AR
PANKEY COMMUNITY IMPROVEMENT ASSOCIATION INC,, ,,,,12318 PLEASANT FOREST DR ,LITTLE ROCK,72212,,"

",34.788017,-92.410427,58-2062104,AR
ABILITY TREE INC,, ,,,,PO BOX 6929 ,SILOAM SPGS,72761,,"

",36.1585967,-94.4593791,27-3020956,AR
LAST CHANCE MINISTRIES,, ,,,,1132 MAIN ST ,VILONIA,72173,,"

",0.0,0.0,90-0452719,AR
CAYCE CHARITIES INC,, ,,,,415 S SECOND ST % JOANNIE CAYCE,THORNTON,71766,,"Provide support to poor

Gave away donated and purchased clothing, house hold items, school supplies & personal care items to poor and needy through clothes drive.",0.0,0.0,20-3720766,AR
OZARK REGIONAL SHARE AND CARE PROGRAM INC,, ,,,,105 HWY 62-65 BYPASS ,HARRISON,72601,,"PROVIDE BASIC HUMAN SERVICES SUCH AS FOOD, CLOTHING, SHELTER, ETC.

FOOD, SCHOOL SUPPLIES, SUBSIDIES FOR RENT, UTILITIES, DOCTORS, MEDICINES, CLOTHING, FANS AND HOUSEHOLD ITEMS-SUPPORTED BY THRIFT STORE AND DONATIONS. APPROX 8000 FAMILIES SERVED. THE ORGANIZATION HAS ONE MAIN PROGRAM ALL RESOURCES ARE USED AS LISTED.",36.231654,-93.10222000000002,71-0654652,AR
YOUTH WORD CENTER,, ,,,,16567 HIGHWAY 66 % LOREVA HARNESS,MOUNTAIN VIEW,72560,,"

",35.8684075,-92.11765210000002,26-2156326,AR
BETTER WAY FOUNDATION AND MINISTRIES,, ,,,,1516 BASIN ST ,BLYTHEVILLE,72315,,"

",35.915361,-89.921848,30-0668284,AR
GATES OF JERICHO COMMUNITY DEVELOPMENT CORPORATION,, ,,,,14124 CHICOT RD ,MABELVALE,72103,,"Feeding the homeless and drug & alcohol education

Charity donates clothes, money, and prepared food to the homeless. Charity also works with other churches and organizations to assist homeless camps.",34.621222,-92.3651299,75-3005449,AR
ARKANSAS NATIONAL GUARD YOUTH FOUNDATION,, ,,,,PO BOX 94681 % DON B CRONKHITE,N LITTLE ROCK,72190,,"

",34.78,-92.27,20-5172660,AR
JOHNSON COUNTY HELPING HANDS INC,, ,,,,805B W CHERRY ST ,CLARKSVILLE,72830,,"PROVIDE HOMELESS SHELTER, FINANCIAL ASSISTANCE, AND ESSENTIAL SERVICES ON SHORT TERM BASIS TO INDIVIDUALS AND FAMILIES IN CRISIS.

PROVIDE FINANCIAL ASSISTANCE TO NEEDY INDIVIDUALS FOR FOOD, MEDICAL CARE, AND UTILITIES AND UTILITIES AND TO PROVIDE A SHELTER FOR HOMELESS INDIVIDUALS ON A SHORT TERM BASIS.",35.4722155,-93.470563,58-1846258,AR
IN HIS NAME INC,, ,,,,2025 S 69TH ST ,FORT SMITH,72903,,"PROVIDING FOOD TO POOR FAMILIES

PURCHASES OF FOOD TO DISTRIBUTE TO THOSE IN NEED AND ELECTRICITY TO RUN THE COOLER",0.0,0.0,71-0553500,AR
COMBAT VETERANS MOTORCYCLE ASSOCIATION ARKANSAS CHAPTER 7-2,, ,,,,17 KENILWORTH DR ,BELLA VISTA,72714,,"

",36.450302,-94.22167499999999,27-1759545,AR
VETERANS OF FOREIGN WARS DEPARTMENT OF ARKANSAS,, ,,,,1199 HEBER SPRINGS RD ,BATESVILLE,72501,,"

",0.0,0.0,58-1817766,AR
VETERANS OF FOREIGN WARS DEPARTMENT OF ARKANSAS,, ,,,,1100 MURTA ST ,VAN BUREN,72956,,"

",0.0,0.0,71-6058461,AR
VETERANS OF FOREIGN WARS DEPARTMENT OF ARKANSAS,, ,,,,101 CHARLOTTE DR ,GURDON,71743,,"

",33.915627,-93.138605,51-0216391,AR
IN YOUR HANDS MINISTRIES INCORPORATED,, ,,,,PO BOX 17801 % KEN MULLEN,N LITTLE ROCK,72117,,"

",0.0,0.0,76-0784704,AR
LETS GET REAL MARRIAGES,, ,,,,PO BOX 11945 ,FORT SMITH,72917,,"

",35.59116,-93.761674,27-4022934,AR
Eastark Enterprises,eastarkent@aol.com,Janie Spence,,Co-Director,eastarkenterprises.com,PO Box 1206 ,West Memphis,72303,,"The Corporation was established in 1972 as a sheltered workshop (now termed CRP) and for the purpose of carrying out a recognized program of rehabilitation for adults disabled by physical and/or mental disabilities.  The program provides such individuals remunerative employment training and one or more rehabilitation activities of an educational and/or social nature.

EVALUATION, TRAINING AND REHABILITATION OF MENTALLY AND PHYSICALLY HANDICAPPED INDIVIDUALS DURING NORMAL WORKING HOURS.",35.15,-90.05,71-0431534,AR
DISABLED AMERICAN VETERANS AUXILIARY INC,, ,,,,PO BOX 81 ,DEQUEEN,71832,,"

",34.031747,-94.35651299999999,31-0926253,AR
LITTLE ROCK CAREER DEVELOPMENT CENTER INC,, ,,,,125 W 4TH ST ,LITTLE ROCK,72201,,"CAREER PLACEMENT SERVICES

THE ORGANIZATION'S PRIMARY PURPOSE IS TO EDUCATE THE PUBLIC OF EMPLOYMENT OPPORTUNITIES AND GOVERNMENT PROGRAMS AVAILABLE TO PREPARE PEOPLE TO ENTER THE WORKFORCE",0.0,0.0,71-0811452,AR
VETERANS OF FOREIGN WARS DEPARTMENT OF ARKANSAS,, ,,,,118 N FRONT ST ,DARDANELLE,72834,,"

",0.0,0.0,23-7164765,AR
M3X,, ,,,,712 ELAINE % SON - RISE RANCH REHABILITATION,BENTON,72019,,"

",34.5645371,-92.586828,26-0398159,AR
ESTHERS HOUSE MINISTRIES,, ,,,,505 MAPLE ST % NANETTE VAUGHAN,CAMDEN,71701,,"

",33.5845581,-92.8343294,41-2257895,AR
CALHOUN COMMUNITY CLUB INC,, ,,,,60 COLUMBIA 25 ,MAGNOLIA,71753,,"GREAT INTEREST IN CALHOUN COMMUNITY

REPAINT AND REPAIR CALHOUN COMMUNITY CENTER",33.220542,-93.15392399999999,71-0747835,AR
VESSELS OF ENLIGHTMENT OUTREACH,, ,,,,PO BOX 190 ,DEWITT,72042,,"

",34.2928774,-91.3378987,27-3490734,AR
ADVOCATE FOR CHILDREN AND PARENTS PROVIDERS AFCAPP,, ,,,,PO BOX 995 ,N LITTLE RO,72115,,"

",0.0,0.0,71-0770646,AR
Pulaski County Crime Stoppers,, ,,,,PO BOX 16511 ,NO LITTLE ROCK,72231,,"Founded in 1979, to promote the welfare of communites throughout the country and to lessen the burdens of federal, state and local governments by:a) assisting their law enforcement agencies in the apprehension and conviction of criminals, primarily through the establishment and support of new and existing state and local Crime Stopper Programs.b) training and advising law enforcement personnel and others who participate in such programs.c) helping to motivate members of the public to cooperate with their respective law enforcement agencies.d) stimulating and encouraging the flow of information to, among and between various law enforcement agencies.e) creating and circulating films, video and sound tapes, and printed material about crime prevention and Crime Stopper Programs, and otherwise promoting such programs.f) visiting places where existing or potential Crime Stopper Programs are located to advise concerning the operation thereof.

",0.0,0.0,71-0779601,AR
GENESIS HOUSE INC,, ,,,,PO BOX 1506 ,SILOAM SPGS,72761,,"Homeless shelter program that provides on site hot meals, shower and laundry, mail drop, phone, email and fax service, client advocacy and referrals.

Homeless shelter programs: On site hot meals, shower and laundry, mail drop, phone, email and fax service, client advocacy and referrals.",0.0,0.0,71-0790585,AR
JOHN 3 16 MINISTRIES INC,, ,,,www.john316ministry.com,75 HOLMES RD % BRYAN TUGGLE,CHARLOTTE,72522,,"ALCOHOL & DRUG REHABILITATION

THERE WERE 167 RESIDENT ADDICTS IN THE PROGARM DURING 2009, 35 OF WHICH ENTERED IN 2008. 50 RESIDENTS GRADUATED FROM THE 6 MONTH PROGRAM WHILE 63 LEFT BEFORE COMPLETING THE SIX MONTH PROGRAM, LEAVING 54 RESIDENTS AS OF 12/31/09. OF THE 50 GRADUATES, 17 REMAINED IN OUR UNITY HOUSE FOR SEVERAL MONTHS BEFORE LEAVING TO BEGIN THEIR NEW LIVES. ALL RESIDIENTS ARE TAUGHT THAT GOD CAN HELP THEM OVERCOME THEIR ADDICTIONS AND THAT WORK ETHICS CAN HELP THEM MAINTAIN THEIR NEW LIFESTYLE.",35.8025953,-91.47731139999999,32-0060982,AR
THE TRANSFORMATION PROJECT INCORPORATED,, ,,,,PO BOX 20817 % DENNIS OWENS,WHITE HALL,71612,,"

",34.27,-92.09,20-4863272,AR
OZARK COUNSELING SERVICES,, ,,,,PO BOX 2698 ,MOUNTAIN HOME,72654,,"COMMUNITY MENTAL HEALTH CENTER

OUTPATIENT, DAYTREATMENT",36.34,-92.39,23-7183112,AR
BABY BASICS OF NEA INC,, ,,,,PO BOX 316 ,MONETTE,72447,,"

",35.8906286,-90.3442678,27-2446634,AR
JOHN L RANKIN SENIOR LIVING INC,, ,,,,PO BOX 2109 % TOM HILL,RUSSELLVILLE,72811,,"

",35.2769962,-93.1319863,20-5006141,AR
LIFE CHANGING CHEMICAL-FREE LIVING CENTER,, ,,,,2016 S SCHILLER ST % ALFRED CROSS,LITTLE ROCK,72202,,"CHEM FREE HOSUING PROGRAM

",0.0,0.0,94-3415757,AR
AMVETS,, ,,,,PO BOX 691 ,POCAHONTAS,72455,,"

",36.2614554,-90.97123300000001,71-0831279,AR
GODS HANDS,, ,,,,5400 HIGHWAY 8 W % MARGIE MONTGOMERY,ARKADELPHIA,71923,,"

",34.1209292,-93.0537839,30-0149273,AR
GOOD SAMARITAN FOOD PANTRY INC,, ,,,,2603 MOUNT HOLLY RD ,CAMDEN,71701,,"

",33.5375514,-92.8375357,26-2467749,AR
AMVETS,, ,,,,PO BOX 212 % HOLLAND D TROWER,GARLAND CITY,71839,,"

",33.3629029,-93.70990119999999,71-0766576,AR
National Association Of Minority Contractors,national@namcline.org,Owen Tonkins,(866) 688-6262,,http://www.namcline.org/,100 South Main Bldg Ste 438,Little Rock,72201,,"Provide education and training to minority contractors in construction. Promote the economic and legal interest of minority contracting firms. Advocate law and government actions, which meet the concerns of minority contractors. Bring about more equitable and wider procurement and business opportunities for minority contractors. Reduce and remove the barriers to full equality, which confront minority contractors. Build bridges between minority contractors and the parties and entities with which they must work. Create a forum for sharing information, developing and maintaining the highest professional standards and mutual support.

",34.7480482,-92.2703466,71-0600125,AR
DISABLED AMERICAN VETERANS,, ,,,,PO BOX 2928 ,HOT SPRINGS,71914,,"

",34.5,-93.06,71-6060887,AR
LOGAN COUNTY LITERACY COUNCIL,, ,,,,1700 HELBERG LN ,OZARK,72949,,"

",35.4969995,-93.8423,26-2145986,AR
"Central Arkansas Substance Abuse Programs, Inc.",, ,,,,1501 N UNIVERSITY ,LITTLE ROCK,72207,,"SUBSTANCE ABUSE TREATMENT

DRUG AND ALCOHOL ABUSE TREATMENT CONTRACTED SERVICES",0.0,0.0,71-0554804,AR
DISABLED AMERICAN VETERANS,, ,,,,PO BOX 1620 ,N LITTLE ROCK,72115,,"DEDICATED TO BUILDING BETTER LIVES FOR AMERICA'S DISABLED VETERANS AND THEIR FAMILIES THROUGH VARIOUS PROGRAMS.

PLACEMENT OF HOSPITAL SERVICE COORDINATORS IN VETERAN'S HOSPITAL, PROVIDING INFORMATION AS TO BENEFITS, PENDING LEGISLATION, AND ASSISTANCE TO VETERANS AND THEIR FAMILIES.",34.78,-92.27,71-0543892,AR
COURT APPOINTED SPECIAL ADVOCATES OF THE 20TH JUDICIAL DISTRICT INC,dnika@nationalcasa.org,D'Nika Jackson,(800) 628-3233,Resource Development Coordinator,http://www.nationalcasa.org/,3235 Chrysler Cv ,Conway,72032,,"National CASA's mission is to ensure that every child in or risk of being placed in foster care has a CASA Volunteer, appointed by judges to be a voice for these children in court. The result is that they are placed into safe, loving homes where they can thrive.

THE ENTITY PROVIDES COURT APPOINTED LIAISONS FOR CHILDREN UNDER THE GUARDIANSHIP OF THE JUDICAL SYSTEM",35.102088,-92.48116499999999,71-0823919,AR
NORTH CENTRAL BOARD CHARITABLE FOUNDATION,, ,,,,415 SHIRAS ST % ELIZABETH PERSENAIRE,MOUNTAIN HOME,72653,,"

",36.3353449,-92.3851593,26-1998474,AR
MILITARY ORDER OF THE PURPLE HEART OF THE USA,, ,,,,5 SCOTSDALE PL ,BELLA VISTA,72715,,"

",0.0,0.0,80-0603934,AR
AFRICAN AMERICAN CONCERNED TOGETHER INC,, ,,,,1113 RIVER OAKS DR % CAROL WHITE,BLYTHEVILLE,72315,,"

",35.9272953,-89.9189753,30-0285600,AR
SONS OF CONFEDERATE VETERANS INC,, ,,,,105 WILSONS LAKE RD % ERWIN JEFFREY ALAN,HOT SPRINGS,71901,,"

",34.5037004,-93.0551795,58-2396127,AR
VIETNAM VETERANS OF AMERICA INC,, ,,,,PO BOX 5028 ,N LITTLE ROCK,72119,,"

",34.78,-92.27,71-0628677,AR
PHI CHI SIGMA NATIONAL VETERANS FRATERNITY INC,, ,,,,716 GREEHNILL ROAD % HAROLD D PELTON,BENTON,72019,,"

",34.596733,-92.563491,71-0843683,AR
CONCORD MISSIONARY BAPTIST CHURCH FAMILY DEVELOPMENT MINISTRIES INC,, ,,,,430 ADAMS AVE % ROSIE SMITH-KELLY,CAMDEN,71701,,"

",33.5845581,-92.8343294,71-0858673,AR
WEBB COMMUNITY CENTER INC,, ,,,,PO BOX 312 ,HOT SPRINGS,71902,,"EDUCATION & COMMUNITY SERVICE

TO PROVIDE MENTOR SERVICES FOR A KIDS ACROSS AMERICA (KAA) SUMMER CAMP PROGRAM AND COORDINATE FOLLOW-UP ACTIVITIES FOR THE YOUTHS INVOLVED.",34.5,-93.06,71-0313215,AR
BULL SHOALS FOOD PANTRY,, ,,,,PO BOX 210 ,BULL SHOALS,72619,,"

",0.0,0.0,71-0838304,AR
GRACE MEADOW,, ,,,,PO BOX 247 % JIM FLOWERS,BRYANT,72089,,"EQUINE ASSISTED PSYCHOTHERAPY

PROVIDING EQUINE ASSISTED PSYCHOTHERAPY",34.612043,-92.49641539999999,71-0849686,AR
RECOVERY 2005,, ,,,,PO BOX 106843 ,LITTLE ROCK,72202,,"

PROVIDED EIGHT SCHOLARSHIPS TO MED SOUTH SUMMER PROGRAM AT UACR",34.7359274,-92.2975183,62-1708739,AR
RETO,, ,,,,3301 W PRATT RD ,LITTLE ROCK,72206,,"ARKANSAS DEPARTMENT OF CORRECTIONS APPROVED HALFWAY HOUSE

ORGANIZATION OPERATED AN APPROVED HALFWAY HOUSE WHERE PAROLED PRISONERS WERE TREATED PHYSICALLY MENTALLY AND SPIRITUALLY APPX 50 PEOPLE LIVED IN THE CENTER",0.0,0.0,71-0749266,AR
VETERANS OF FOREIGN WARS DEPARTMENT OF ARKANSAS,, ,,,,788 LAKEHALL RD ,LAKE VILLAGE,71653,,"

",33.2809619,-91.21925499999999,51-0156703,AR
CRITTENDEN AND MISSISSIPPI COUNTY ECONOMIC DEV FOUNDATION,, ,,,,PO BOX 127 ,GILMORE,72339,,"

",35.4118224,-90.2799276,62-1700699,AR
AIR FORCE ASSOCIATION,, ,,,,306 MINERAL ST % MORRIS D CASH,HOT SPRINGS,71901,,"

",34.5037004,-93.0551795,13-4340717,AR
ALMA POLICE FOCUS GROUP,, ,,,,804 FAYETTEVILLE AVE % CITY OF ALMA POLICE DEPT,ALMA,72921,,"

",0.0,0.0,20-0634540,AR
VETERANS OF FOREIGN WARS POST 6144,, ,,,,RT 1 BOX 28B ,MAYFLOWER,72106,,"

",34.9570324,-92.42737849999999,71-0690383,AR
