,Email,Name,Phone,Title,Website,Street,City,Postal Code,Associated with,Description,Latitude,Longitude,EIN,State
GARVIN COUNTY COMMUNITY LIVING CENTER INC,, ,,,www.gcclc.com,PO BOX 1119 ,PAULS VALLEY,73075,,"AID PERSONS WITH DEVELOPMENTAL DISABILITIES

COMMUNITY CENTER LIVING-FOUR GROUP HOMES AND SIX ASSISTED LIVING HOMES FOR THE MENTALLY HANDICAPPED SERVING APPROXIMATELY 44 INDIVIDUALS DURING THE YEAR.",34.7400809,-97.22224510000001,73-1164397,OK
SHEET METAL & AIR CONDITIONING CONTRACTORS INDUSTRY FUND OF EASTE,, ,,,,2121 S COLUMBIA AVE STE 445 ,TULSA,74114,,"EDUCATIONAL AND TRAINING ASSOCIATION

PROMOTION OF SHEET METAL AND AIR CONDITIONING INDUSTRY",36.13265,-95.95062899999999,73-0719255,OK
Red Door Resources Ltd,, ,,,,1901 N Douglas Ave ,Oklahoma City,73106,,"

",0.0,0.0,73-1486522,OK
FOUNDATION EDUCATION INC,, ,,,,903 S MAIN ST ,STILLWATER,74074,,"

",36.112,-97.05825,73-1381758,OK
ABBA HOMES & MINISTRIES,, ,,,,5205 S ASPEN AVE ,BROKEN ARROW,74011,,"

",35.998133,-95.81290299999999,80-0414836,OK
VIETNAM VETERANS ASSISTANCE FOUNDATION OF OKLAHOMA INC,, ,,,,2613 W Elgin St ,Broken Arrow,74012,,"

",36.055281,-95.82131,31-1569379,OK
OKLAHOMA KNIGHTS CHARITIES ASSISTANCE PROGRAM INC,, ,,,,601 PEPPERDINE AVE % BUSTER E FISHER,EDMOND,73013,,"

",0.0,0.0,20-1011688,OK
ENID MOBILE MEALS INCORPORATED,, ,,,,PO BOX 648 ,ENID,73702,,"

SALE OF HOT MEALS DELIVERED TO HOMES & EXPENSES",0.0,0.0,23-7250287,OK
THE SILENCE FOUNDATION INC,, ,,,,4400 HEMINGWAY DR APT 113 % PATRICIA WEBB,OKLAHOMA CITY,73118,,"

",0.0,0.0,20-3899140,OK
VETERANS OF FOREIGN WARS DEPT OF OKLAHOMA,info@vfw.org,John Newberry,816-7563390,Director of Communications,www.vfw.org,BOX 533 ,NOWATA,74048,,"Our mission is to ''honor the dead by helping the living'' through veterans'' service, community service, national security and a strong national defense.

",36.700645,-95.6380341,23-7311314,OK
OKLAHOMA CHAPTER OF NATIONAL CORVETTE RESTORERS SOCIETY INC,, ,,,,11742 E 6TH ST % JOHN NEAS,TULSA,74128,,"

",36.147526,-95.85121,73-1462191,OK
MIGHTY WARRIORS OF PRAISE MINISTRIES INC,, ,,,,PO BOX 1228 ,IDABEL,74745,,"

",33.8956647,-94.8263281,73-1496917,OK
TORNADO ALLEY UMPIRE ASSOCIATION,, ,,,,PO BOX 950076 % MIKE MONAHAN,OKLAHOMA CITY,73195,,"

",35.40197000000001,-97.5947599,30-0114994,OK
DEPARTMENT OF OKLAHOMA LADIES AUXILIARY TO THE VFW INC,, ,,,,112 S CIMARRON DR ,PERKINS,74059,,"

",35.967183,-97.0308189,37-1572215,OK
DEPARTMENT OF OKLAHOMA LADIES AUXILIARY TO THE VFW INC,, ,,,,2404 RIDGEWOOD DR ,MOORE,73160,,"

",35.360168,-97.489919,27-0245153,OK
PATRIOTIC VETERANS CAMPGROUND ASSOCIATION,, ,,,,19385 E 89TH ST S % STEVE LESLEY SISNEY,BROKEN ARROW,74014,,"

",36.0525993,-95.7908195,47-0890519,OK
TRUTH GRACE LOVE & FREEDOM MINISTRY INC,, ,,,,PO BOX 2186 % TOMMY DALE FITZGERALD,OKLAHOMA CITY,73101,,"

",35.47,-97.52,82-0563761,OK
ISAIAH 58 IN HIS SERVICE INC,, ,,,,PO BOX 521063 ,TULSA,74152,,"

",36.379129,-95.72942499999999,27-3079190,OK
DISABLED AMERICAN VETERANS,, ,,,,PO BOX 450675 ,GROVE,74345,,"

",36.379129,-95.72942499999999,31-1100117,OK
VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF OKLAHOMA,, ,,,,4400 VFW DR ,DEL CITY,73115,,"

",0.0,0.0,73-1357574,OK
TULSA DANCE THEATRE INC,, ,,,,5127 S 95TH EAST AVE ,TULSA,74145,,"

",0.0,0.0,73-1322215,OK
TAKE RESPONSIBILITY INC,, ,,,,1631 E 43RD PL % GARY GOLDBERG,TULSA,74105,,"

",36.1036376,-95.97268319999999,73-1619309,OK
KIOWA VETERANS ORGANIZATION,, ,,,,RR 2 BOX 12 ,ANADARKO,73005,,"

",35.072562,-98.2436625,73-1114159,OK
KIAMICHI YOUTH SERVICES INC FOR MCCURTAIN COUNTY INC,, ,,,,116 SE AVE N ,IDABEL,74745,,"EMERGENCY YOUTH SHELTER PLUS OUTREACH PREVENTION PROGRAM

TO PROVIDE SHELTER SERVICES FOR DISPLACED YOUTH ON A SHORT TERM BASIS.",0.0,0.0,73-0954088,OK
T E A M INC,teamincca@gmail.com,Phillip Barkins,,CEO,,3526 E. 48th Place ,Tulsa,74012,,"Provide Educational, Athletic Mentoring and Career Resources  to Empower Students  to develop Leadership and Entrepreneur Skills

",0.0,0.0,73-1561592,OK
NORTH OKLAHOMA COUNTY MENTAL HEALTH CENTER,, ,,,www.northcare.com,4436 NW 50TH ST ,OKLAHOMA CITY,73112,,"NorthCare exists to promote recovery and new levels of independendence for Oklahoma by providing quality services to achieve the best possible outcomes for individuals, families and communities

Oklahoma Children's Services Project Comprehensive Home Based Services (CHBS) & Parent Aid Services (PAS) Oklahoma Children's Services (OCS) project is a comprehensive, integrated statewide approach to services for families and children impacted by abuse and neglect Comprehensive Home Based Services and Parent Aid Servides are components of the Oklahoma Children's Services Project CHBS and PAS are provided by NorthCare through contracts with the Oklahoma Department of Human Services (OKDHS)",0.0,0.0,73-1134098,OK
SONS OF CONFEDERATE VETERANS INC,, ,,,,308 S OKLAHOMA AVE % JERRY C BREWER,ELK CITY,73644,,"

",35.4119944,-99.4042592,20-8543089,OK
KYLE AND FRIENDS,, ,,,,3604 S HEATHER AVE % JANA GUNDY,SAND SPRINGS,74063,,"

",36.1398102,-96.108891,01-0902156,OK
PALMER DRUG ABUSE PROGRAM OF TULSA INC,, ,,,www.palmer-tulsa.org,711 S SHERIDAN RD ,TULSA,74112,,"The mission of the Palmer Drug Abuse Program of Tulsa, Inc. is to provide free support and counseling to young people, families, and communities of the Tulsa city, county, and surrounding area who are experiencing hardships and problems related to drug and alcohol abuse. We the board of trustees, staff, and volunteers of the program pledge to actively seek the fulfillment of this mission

Core Support and Evaluation Services: Palmer Drug Abuse served 906 clients during 2003. Palmer provided group/individual substance abuse counseling services to approximately 169 children and families through programs at its offices and a local church. School Group program: Approximately two thirds of the clients were served through Palmer's School-based services. Palmer provides substance abuse support, education, and counseling services to students in twenty schools",0.0,0.0,73-1128600,OK
SALVATION ARMY,, ,,,,PO BOX 12600 ,OKLAHOMA CITY,73157,,"

",0.0,0.0,73-0579266,OK
AVALON CAMP GROUND INC,, ,,,,PO BOX 6439 ,NORMAN,73070,,"

",35.2214777,-97.44588499999999,20-3845473,OK
LEADERSHIP INTERNATIONAL INC,, ,,,,720 CANARY LN ,ENID,73703,,"

",0.0,0.0,75-2623036,OK
VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF OKLAHOMA,info@vfw.org,John Newberry,816-7563390,Director of Communications,www.vfw.org,PO BOX 66 ,INOLA,74036,,"Our mission is to ''honor the dead by helping the living'' through veterans'' service, community service, national security and a strong national defense.

",36.1512097,-95.50941949999999,73-1305765,OK
FAMILY SUPPORT CENTER OF OAKS,, ,,,,128 EAST SEQUOYAH DRIVE % MARC CASE,OAKS,74359,,"

",0.0,0.0,20-2340628,OK
OKLAHOMA ADOPTION COALITION INC,, ,,,,PO BOX 61191 % SHERRI FINIK,OKLAHOMA CITY,73146,,"

",35.4943808,-97.5303307,73-1552529,OK
SELF HELP FOR HARD OF HEARING PEOPLE,, ,,,,PO BOX 1617 ,WEATHERFORD,73096,,"

",0.0,0.0,82-0581766,OK
HOPE SPRINGS TREATMENT CENTER ASSOCIATION,, ,,,,201 W CARL ALBERT PKWY ,MCALESTER,74501,,"

",34.93412989999999,-95.7728805,73-1578332,OK
OKLAHOMA VETERINARY MEDICAL ASSOCIATION,, ,,,,PO BOX 14521 ,OKLAHOMA CITY,73113,,"

",0.0,0.0,73-1160358,OK
MARINE CORPS LEAGUE,, ,,,,PO BOX 3621 % JAMES D MOZINGO,LAWTON,73502,,"

",0.0,0.0,20-5045928,OK
GREEN COUNTRY ASSISTANCE PROGRAM INC,, ,,,,RT ONE BOX 26 2 ,PORTER,74454,,"

",35.8709334,-95.522476,73-1469180,OK
VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF OKLAHOMA,info@vfw.org,John Newberry,816-7563390,Director of Communications,www.vfw.org,521 N RANDLETT ,HOBART,73651,,"Our mission is to ''honor the dead by helping the living'' through veterans'' service, community service, national security and a strong national defense.

",0.0,0.0,73-6110074,OK
WARRIOR PRINCESS FOUNDATION,, ,,,,25 E BROADWAY ST ,SAND SPRINGS,74063,,"

",36.139969,-96.10908099999999,27-3225678,OK
DISABLED AMERICAN VETERANS,, ,,,,PO BOX 903 ,DURANT,74702,,"

",0.0,0.0,73-0568031,OK
"Elk City Crime Stoppers, Inc.",, ,,,,PO Box 2459 ,Elk City,73648,,"Founded in 1979, to promote the welfare of communites throughout the country and to lessen the burdens of federal, state and local governments by:a) assisting their law enforcement agencies in the apprehension and conviction of criminals, primarily through the establishment and support of new and existing state and local Crime Stopper Programs.b) training and advising law enforcement personnel and others who participate in such programs.c) helping to motivate members of the public to cooperate with their respective law enforcement agencies.d) stimulating and encouraging the flow of information to, among and between various law enforcement agencies.e) creating and circulating films, video and sound tapes, and printed material about crime prevention and Crime Stopper Programs, and otherwise promoting such programs.f) visiting places where existing or potential Crime Stopper Programs are located to advise concerning the operation thereof.

",0.0,0.0,73-1392713,OK
"Cleveland County Casa, Inc.",dnika@nationalcasa.org,D'Nika Jackson,(800) 628-3233,Resource Development Coordinator,http://www.nationalcasa.org/,PO Box 1714 ,Norman,73070,,"National CASA's mission is to ensure that every child in or risk of being placed in foster care has a CASA Volunteer, appointed by judges to be a voice for these children in court. The result is that they are placed into safe, loving homes where they can thrive.

Recruit, screen, train, and monitor adult volunteers to serve as court Appointed special Advocates for abused/neglected children, and other children in the juvenile justice system in Judicial District 21 in Oklahoma. Over 1,800 kids served, 196 kids on wait list, 93 active adult volunteers in place.",0.0,0.0,73-1231247,OK
LIFEGATE FREEDOM RECOVERY MINISTRIES,, ,,,,11680 S 153RD WEST AVE ,SAPULPA,74066,,"

",35.994828,-96.16683499999999,26-2578843,OK
SOCIETY OF ST VINCENT DE PAUL OKC DISTRICT COUNCIL INC,, ,,,,PO BOX 123 % MERLE HUMBLE,ELK CITY,73648,,"

",35.4106432,-99.4075507,73-1542026,OK
TRI CITY HOPE CENTER,, ,,,,3030 NW 20 TERRACE ,NEWCASTLE,73065,,"

",35.2714431,-97.64998059999999,27-2062718,OK
DEPARTMENT OF OKLAHOMA LADIES AUXILIARY TO THE VFW INC,, ,,,,215 N APPLE AVE ,NEWKIRK,74647,,"

",36.884162,-97.061336,80-0302377,OK
SONS OF CONFEDERATE VETERANS INC,, ,,,,PO BOX 456 ,EL RENO,73036,,"

",35.5299623,-97.96274230000002,58-1660472,OK
MABLE WATTS COUNSELING CENTER FOR WOMEN,, ,,,,109 HOLLY LN % MABLE P WATTS,BARTLESVILLE,74003,,"

",0.0,0.0,73-1612080,OK
VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF OKLAHOMA,info@vfw.org,John Newberry,816-7563390,Director of Communications,www.vfw.org,PO BOX 312 ,BLACKWELL,74631,,"Our mission is to ''honor the dead by helping the living'' through veterans'' service, community service, national security and a strong national defense.

",36.8044767,-97.2828207,73-0552269,OK
AMERICAN VETERANS OF WORLD WAR II KOREA AND VIETNAM,, ,,,,PO BOX 174 ,HENNEPIN,73046,,"

",0.0,0.0,73-1417546,OK
VETERANS OF FOREIGN WARS DEPT OF OKLAHOMA,info@vfw.org,John Newberry,816-7563390,Director of Communications,www.vfw.org,450 W ELM ,FAIRFAX,74637,,"Our mission is to ''honor the dead by helping the living'' through veterans'' service, community service, national security and a strong national defense.

",0.0,0.0,73-6104178,OK
NEW GENERATION OF HOPE INC,, ,,,,1217 SOVEREIGN ROW STE 105 ,OKLAHOMA CITY,73108,,"

",35.454484,-97.5995049,26-1672566,OK
DISABLED AMERICAN VETERANS,, ,,,,PO BOX 454 ,BLACKWELL,74631,,"

",36.8044767,-97.2828207,73-6102360,OK
DEPARTMENT OF OKLAHOMA LADIES AUXILIARY TO THE VFW INC,, ,,,,620 S KERN AVE ,OKMULGEE,74447,,"

",35.6178529,-95.98436099999999,51-0193025,OK
VETERANS OF AMERICA,, ,,,,PO BOX 73 ,POCOLA,74902,,"

",0.0,0.0,73-1433411,OK
AGAPE MISSION OF BARTLESVILLE,Agapemission@Juno.com,Sherri Smith,,Exec. Director,,PO Box 1085 309 S Bucy,Bartlesville,74005,,"Providing a meal to the homeless and hurting in the Washington County area.

PREPARATION AND SERVING OF MEALS FOR LOW INCOME AND HOMELESS PERSONS.",0.0,0.0,73-1608794,OK
ELIZAVETA FOUNDATION INC,, ,,,,6517 S BARNES AVE ,OKLAHOMA CITY,73159,,"ADOPTION OF CHILDREN.

ADOPTION & PLACEMENT OF ROMANIAN CHILDREN TO HOMES IN US. ALSO THE SUPPORT OF THESE CHILDREN IN ROMANIA WHILE IN ROMANIA (ORPHANAGES) PRIOR TO ENT.",35.399849,-97.550788,73-1527398,OK
"Sons of Confederate Veterans, Inc. AE Folsom-James A Colbert Camp 1356",, ,,,,Rte 4 Box 241 E-Y ,Duncan,73533,,"

",34.5023028,-97.9578128,73-1068877,OK
PATRICIA M LINDSAY M D MINISTRIES INC,, ,,,,2918 E 78TH ST ,TULSA,74136,,"

A MEDICAL MINISTRY THAT MEETS HUMAN NEEDS FREE OF CHARGE WHILE SHARING RELIGIOUS VALUES OF CHRISTIANITY",36.0496709,-95.945293,73-1260602,OK
GROVE VETERANS RITUAL TEAM INC,, ,,,,PO BOX 450203 % JERRY GORDON,GROVE,74345,,"

",36.59,-94.77,73-1591137,OK
SERVICES TRAINING & EDUCATIONAL PARTNERSHIP STRATEGIES INC,, ,,,,1628 N COUNTRY CLUB RD % LEE ANN LANGSTON,MUSKOGEE,74403,,"The organization provides job training for disadvantaged youth and adults.

PROVIDED EDUCATIONAL AND EMPLOYMENT SERVICES FOR ADULTS, DISLOCATED WORKERS AND YOUTH IN THE EASTERN OKLAHOMA AREA.",35.7478769,-95.3696909,41-2138168,OK
OKLAHOMA THERAPY AND ASSESSMENT CENTER,, ,,,,3230 S 73RD EAST AVE % CHRYSTAL PROBASCO,TULSA,74145,,"

",36.1026614,-95.88287509999999,47-0951549,OK
DEPARTMENT OF OKLAHOMA LADIES AUXILIARY TO THE VFW INC,, ,,,,20235 E COUNTY RD 159 ,ALTUS,73521,,"

",34.710977,-99.33572,27-0193935,OK
OKLAHOMA FEDERATION OF FAMILIES FOR YOUTH AND CHILDRENS MENTAL HEALTH,, ,,,,1620 RIDGECREST RD % JEFF TALLENT,EDMOND,73013,,"

",35.6264403,-97.5138947,20-2876919,OK
PREPARE FOR TOMORROW FOUNDATION,, ,,,,329 S RENNIE ST ,ADA,74820,,"

",34.7720332,-96.6770512,27-4417308,OK
CHAZOWN FOUNDATION,, ,,,,1954 COUNTY ROAD 1196 ,TUTTLE,73089,,"

",0.0,0.0,80-0656053,OK
UNIVERSITY OF HOOK SETTERS YOUTH DEVELOPMENT FUND,, ,,,,12101 CORN FLOWER PL ,OKLAHOMA CITY,73120,,"

",0.0,0.0,73-1405969,OK
DISABLED AMERICAN VETERANS AUXILIARY INC,, ,,,,PO BOX 353 % SUE PARHAM,COLLINSVILLE,74021,,"

",36.3645384,-95.83887659999999,52-1244081,OK
VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF OKLAHOMA,, ,,,,PO BOX 882 ,MCALESTER,74502,,"

",34.9326018,-95.76245469999999,73-6103593,OK
SOCIETY OF ST VINCENT DE PAUL OKC DISTRICT COUNCIL INC,, ,,,,3939 W TECUMSEH RD ,NORMAN,73072,,"

",35.2625066,-97.49849909999999,35-2278623,OK
PEOPLE EDUCATION ENCOURAGING RATIONALIZING SUPPORTING INC,, ,,,,2018 N ROCKFORD AVE % ROSCOE J DABNEY IV,TULSA,74106,,"

",0.0,0.0,73-1599929,OK
JUSTHOPE INC,, ,,,,1311 S FRISCO AVE % LESLIE K PENROSE,TULSA,74119,,"

",36.1433174,-95.9911897,26-0430769,OK
DEPRESSION AND BIPOLAR SUPPORT ALLIANCE OF OKLAHOMA INC,, ,,,www.dbsaoklahoma.org,3200 NW 48TH ST STE 103 ,OKLAHOMA CITY,73112,,"Improve the lives of those who live with mood disorders.

Facilitate training for support groups, provide social functions for consumers to interact with other consumers, maintain resource materials for consumers and families.",35.5201778,-97.57328419999999,73-1397701,OK
VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF OKLAHOMA,, ,,,,130 NE 20TH STREET ,LAWTON,73507,,"

",34.6133372,-98.36451439999999,73-1142817,OK
FAMILY CRISIS CENTER INC,, ,,,,PO BOX 2274 ,ADA,74821,,"Domestlc Violence Intervention

To provide on-going support services for victims of domestic vlolence and sexual assault. Support includes a safe house and 24 hour telephone hot line.",34.7733505,-96.6782477,73-1137514,OK
OKLAHOMA CITY EASTSIDE ROUNDUP CLUB,, ,,,,4601 NE 50TH ST % ROBERT JOHNSON JR,OKLAHOMA CITY,73121,,"

",35.5165585,-97.4435441,13-4220120,OK
MCALESTER ALCOHOLISM COUNCIL,, ,,,,PO BOX 727 ,STIGLER,74462,,"

",0.0,0.0,73-0981226,OK
VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF OKLAHOMA,, ,,,,RR 1 BOX 195C ,CASHION,73016,,"

",35.7981025,-97.6786573,51-0216716,OK
VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF OKLAHOMA,, ,,,,104332 US HWY 59 ,SALLISAW,74955,,"VETERAN OF FOREIGN WARS

ORGANIZATION FOR MILITARY PERSONEL",35.632158,-94.825221,51-0197353,OK
VETERANS OF FOREIGN WARS DEPT OF OKLAHOMA LADIES AUXILIARY,, ,,,,PO BOX 213 ,NASH,73761,,"

",36.6661413,-98.05034099999999,73-1230375,OK
VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF OKLAHOMA,info@vfw.org,John Newberry,816-7563390,Director of Communications,www.vfw.org,PO BOX 268 ,MIAMI,74355,,"Our mission is to ''honor the dead by helping the living'' through veterans'' service, community service, national security and a strong national defense.

",0.0,0.0,73-0757667,OK
FREE SPIRIT ART STUDIO INC,, ,,,,PO BOX 1547 % CORETTA HARDING,NORMAN,73070,,"

",35.2214777,-97.44588499999999,73-1618512,OK
LIGHTHOUSE SERVICE MINISTRIES INC,, ,,,,1300 E 15TH ST STE 150 ,EDMOND,73013,,"

",35.6380577,-97.4626102,20-0503699,OK
THE HUCKLEBERRY PROJECT FOUNDATION INC,, ,,,,2610 NW GRAND BLVD ,OKLAHOMA CITY,73116,,"

",35.547917,-97.559839,26-0502394,OK
ROAD TO RECOVERY FOUNDATION INC,, ,,,,3535 NW 58TH STREET ,OKLAHOMA CITY,73112,,"

",35.530602,-97.581065,27-0352131,OK
SOUTHWEST OKLAHOMA CHAPTER MILITARY OFFICERS ASSOCIATION OF AMERICA,, ,,,,PO BOX 2183 % CLYDE O BROWN JR,LAWTON,73502,,"

",34.6028382,-98.39527580000001,73-1608435,OK
PAWNEE COUNTY WORKSHOP CORPORATION,, ,,,,PO BOX 63 ,CLEVELAND,74020,,"Rehabilitation of handicapped adults

Training and rehabilitation of handicapped adults",36.3100688,-96.4641886,73-1216618,OK
PATRIOT GUARD RIDERS INC,, ,,,,1345 E 36TH PL % JEFFREY A BROWN,TULSA,74105,,"To Assist Armed Service Members & Families.

In 2007 the Patriot Guard Riders, Inc. assisted wounded soldiers, veterans, and family members of fallen soldiers with funds donated by direct public support and sales of inventory that supports their charitable purpose.",36.1036376,-95.97268319999999,20-4346624,OK
MARINE CORPS LEAGUE,, ,,,,225 OKLAHOMA ST % JACK FORREST,LAHOMA,73754,,"

",36.3875336,-98.0897864,73-1381334,OK
VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF OKLAHOMA,, ,,,,PO BOX 3706 ,AFTON,74331,,"VETERAN HALL

VFW IS A NATIONAL ORGANIZATION THAT ALLOWS VETERANS TO MEET AND KEEP ALIVE THE AMERICAN HERITAGE AMOUNG VERTERANS.",0.0,0.0,23-7167294,OK
VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF OKLAHOMA,, ,,,,500 N VETERANS DR ,ALTUS,73521,,"Veteran service and membership

As a chartered affiliate of the Veterans of Foreign Wars of the US, the purposes of VFW Post 4876 are generally established in Title 36 of the US Code Those purposes are fraternal, historical and educational, to preserve and strengthen comradeship among members, assist worthy veterans and their families; perpetuate the memory and history of deceased veterans; foster patriotism and maintain allegiance to the United States",0.0,0.0,73-6103485,OK
SENIORS ON THE MOVE INC,, ,,,,716 NE 20TH ST ,OKLAHOMA CITY,73105,,"

",35.4898809,-97.50008299999999,37-1638842,OK
LIFETROOPS INC,, ,,,,PO BOX 5356 ,EDMOND,73083,,"

",35.52,-97.33999999999999,26-2995690,OK
180TH INFANTRY ASSOCIATION,, ,,,,PO BOX 186 ,CALERA,74730,,"

",33.9345433,-96.4286022,73-1485577,OK
MISSIONS TOGETHER INC,, ,,,,1201 N ROBINSON AVE % JERRY MCATEE,OKLAHOMA CITY,73103,,"

",35.4900741,-97.51930929999999,26-0502322,OK
MIND OF CHRIST LIVING LIFE COMMUNITY CENTER,, ,,,,PO BOX 6291 ,LAWTON,73506,,"

",0.0,0.0,80-0241496,OK
BOSTON AVENUE HELPING HANDS INC,, ,,,,709 S BOSTON AVE ,TULSA,74119,,"PROVIDE FINANCIAL ASSISTANCE, FOOD, MEDICINES AND TRANSPORTATION FOR INDIGENT FAMILIES AND SINGLE PERSONS.

PROVIDED DIRECT ASSISTANCE TO INDIGENT FAMILIES AND SINGLE PERSONS FOR UTILITIES, FOOD, MEDICAL NEEDS NAD TRANSPORTATION.",0.0,0.0,73-1501065,OK
DEPARTMENT OF OKLAHOMA LADIES AUXILIARY TO THE VFW INC,, ,,,,20 ROBINSON RD ,LAWTON,73507,,"

",0.0,0.0,90-0495233,OK
MILITARY MISSION INC,, ,,,,1512 N POPLAR AVE % RICHARD BIZZELL,BROKEN ARROW,74012,,"

",36.05826630000001,-95.7932008,33-0998539,OK
MILITARY ORDER OF THE WORLD WARS INC,, ,,,,1006 NW KINGSWOOD RD ,LAWTON,73505,,"

",34.62035600000001,-98.48732,73-1408598,OK
EDUCATIONAL ALTERNATIVES,, ,,,,PO BOX 6362 ,NORMAN,73070,,"PUBLIC SAFETY

Provide Domestic Violence training and technical assistance to rural law enforcement agencies, community groups, and to tribal entities throughout the state of Oklahoma.",0.0,0.0,73-1173815,OK
CHRISTIAN ECONOMIC OUTLOOK INC,, ,,,,2608 NW 120TH TER % DENISE R EDMOND,OKLAHOMA CITY,73120,,"

",35.578861,-97.5788975,73-1590695,OK
VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF OKLAHOMA,info@vfw.org,John Newberry,816-7563390,Director of Communications,www.vfw.org,PO BOX 101 ,STILWELL,74960,,"Our mission is to ''honor the dead by helping the living'' through veterans'' service, community service, national security and a strong national defense.

",35.81453,-94.6285553,73-1357576,OK
FOCIS COUNSELING SERVICES,, ,,,,2220 N CLASSEN % TERESA GREENE,OKLAHOMA CITY,73106,,"TO PROVIDE COUNSELING SERVICES.

FOCIS IS IORGANIZED EXCLUSIVELY FOR CHARITABLE PURPOSES BY PROMOTING MENTALLY AND EMOTIONALLY HEALTHY YOUTH AND THEIR FAMILIES BY REDUCING DELINQUENCYAND CHILD ABUSE THROUGH COMMUNITY BASED COUNSELING, FOCIS COUNSELED 157 CLIENTS DURING THE YEAR.",35.4778286,-97.5409718,77-0677756,OK
SUBSTANCE ABUSE PROGRAM PROFESSIONALS,, ,,,,1231 E MAINE AVE % TANYA KENNEDY,ENID,73701,,"The organization provides guidance counseling & educational programs which are required by the State of Oklahoma for people with substance abuse or addiction

Guidance counseling & educational programs which are required by the State of Oklahoma for people with substance abuse or addiction",0.0,0.0,20-2572914,OK
TULSA ACTION GROUP INC,, ,,,,4922 E 27th Pl ,Tulsa,74114,,"

",0.0,0.0,73-1245866,OK
LEXIS KIDS INC,, ,,,,2205 W 112TH CT S ,JENKS,74037,,"

",36.0019769,-95.998571,26-3413279,OK
WORKING TOGETHER SIMPLE FAITH MINISTRIES INC,, ,,,,3075 N 41ST WEST AVE ,TULSA,74127,,"

",36.193471,-96.0339709,80-0672916,OK
DEPARTMENT OF OKLAHOMA LADIES AULXILIARY TO THE VFW INC,, ,,,,PO BOX 6 ,CALUMET,73014,,"

",35.6011602,-98.11866649999999,26-3726847,OK
VIETNAM VETERANS OF AMERICA INC,, ,,,,12407 E 13TH PL ,TULSA,74128,,"

",36.143817,-95.83645700000001,73-1362628,OK
"Urban League of Greater Oklahoma City, Inc.",uladminokc@aol.com,Valerie R. Thompson,,President & CEO,http://www.okculyp.org/UL_EOD.htm,3017 Martin Luther King Blvd ,Oklahoma City,73111,,"Urban League Of Greater Oklahoma City was founded in 1946 to assist African-Americans in the achievement of social and economic equality, through advocacy, bridge building, program services, and research.

Employment & Training",0.0,0.0,73-0590037,OK
VETERANS OF FOREIGN WARS DEPT OF OKLAHOMA,info@vfw.org,John Newberry,816-7563390,Director of Communications,www.vfw.org,PO BOX 822 ,HENRYETTA,74437,,"Our mission is to ''honor the dead by helping the living'' through veterans'' service, community service, national security and a strong national defense.

",35.4398261,-95.98194289999999,23-7282986,OK
KINGDOM COMPASSION INTL,, ,,,,11105 NW 103RD ST ,YUKON,73099,,"

",0.0,0.0,80-0687373,OK
"Weatherford Opportunity Workshops, Inc.",, ,,,,PO Box 1628 ,Weatherford,73096,,"

",0.0,0.0,73-1247079,OK
BRUSHY CHEROKEE ACTION GROUP,, ,,,,RR 3 BOX 5956 ,SALLISAW,74955,,"

",35.4603711,-94.7874463,32-0262934,OK
ENID METROPOLITAN AREA HUMAN SERVICE COMMISSION INC,, ,,,,2615 E RANDOLPH AVE ,ENID,73701,,"Planning & Development of Community Programs

METRO Commission planning staff implemented programs to be administered by other non-profit agencies serving low income & at risk children",36.397669,-97.84149099999999,73-1313409,OK
ANDROGEN INSENSITIVITY SYNDROME SUPPORT GROUP,, ,,,,PO BOX 2148 ,DUNCAN,73534,,"

",34.5027006,-97.9566004,37-1407648,OK
INDIGENOUS NATIONS FEDERAL CHARTER ASSOCIATION BUFFALO RESERVE,, ,,,www.infca.org,1218 W ROCK CREEK RD % BUFFALO RESERVE,NORMAN,73069,,"Economic & Community Develop, Land Conservation

Assistance to Towns, Governments and Community Organizations Apache, Anadarko, Davis, Ft. Cobb, Cyril, Blackwell, Caddo County RC&D, Fun Country RC&D, Oklahoma Renewable Energy Council, start-up businesses and community organizations",0.0,0.0,74-3040546,OK
SOCIETY OF AMERICAN MILITARY ENGINEERS,, ,,,,PO BOX 8814 ,EDMOND,73083,,"

",35.52,-97.33999999999999,73-6111811,OK
AIR FORCE SERGEANTS ASSOCIATION,, ,,,,744 LEGACY LN ,ALTUS,73521,,"

",34.6621496,-99.30062120000001,52-1246829,OK
SONS OF CONFEDERATE VETERANS INC,, ,,,,15509 CLAREMONT BLVD % TERRY D PIERCE,EDMOND,73013,,"

",0.0,0.0,58-2082837,OK
